produto;regiao;ano;semana;preco
Tommy - produtor;Vale do Sao Francisco;2020;12;0.85
Tommy - produtor;Vale do Sao Francisco;2020;13;0.81
Tommy - produtor;Vale do Sao Francisco;2020;14;0.78
Tommy - produtor;Vale do Sao Francisco;2020;15;0.95
Tommy - produtor;Vale do Sao Francisco;2020;16;1.39
Tommy - produtor;Vale do Sao Francisco;2020;17;1.5
Tommy - produtor;Vale do Sao Francisco;2020;18;1.54
Tommy - produtor;Vale do Sao Francisco;2020;19;2.33
Tommy - produtor;Vale do Sao Francisco;2020;20;2.80
Tommy - produtor;Vale do Sao Francisco;2020;21;2.96
Tommy - produtor;Vale do Sao Francisco;2020;22;3.00
Tommy - produtor;Vale do Sao Francisco;2020;23;2.92
Tommy - produtor;Vale do Sao Francisco;2020;24;2.62
Tommy - produtor;Vale do Sao Francisco;2020;25;2.00
Tommy - produtor;Vale do Sao Francisco;2020;26;1.84
Tommy - produtor;Vale do Sao Francisco;2020;27;1.90
Tommy - produtor;Vale do Sao Francisco;2020;28;2.18
Tommy - produtor;Vale do Sao Francisco;2020;29;2.37
Tommy - produtor;Vale do Sao Francisco;2020;30;2.36
Tommy - produtor;Vale do Sao Francisco;2020;31;2.01
Tommy - produtor;Vale do Sao Francisco;2020;32;1.89
Tommy - produtor;Vale do Sao Francisco;2020;33;1.74
Tommy - produtor;Vale do Sao Francisco;2020;34;1.63
Tommy - produtor;Vale do Sao Francisco;2020;35;1.63
Tommy - produtor;Vale do Sao Francisco;2020;36;1.70
Tommy - produtor;Vale do Sao Francisco;2020;37;1.69
Tommy - produtor;Vale do Sao Francisco;2020;38;1.07
Tommy - produtor;Vale do Sao Francisco;2020;39;0.84
Tommy - produtor;Vale do Sao Francisco;2020;40;0.72
Tommy - produtor;Vale do Sao Francisco;2020;41;0.66
Tommy - produtor;Vale do Sao Francisco;2020;42;0.81
Tommy - produtor;Vale do Sao Francisco;2020;43;0.73
Tommy - produtor;Vale do Sao Francisco;2020;44;0.63
Tommy - produtor;Vale do Sao Francisco;2020;45;0.49
Tommy - produtor;Vale do Sao Francisco;2020;46;0.41
Tommy - produtor;Vale do Sao Francisco;2020;47;0.39
